Data Recorder CSV-File Format
PC Time (yyyy:mm:dd/h m s ms);2020/2/5 13h45m47s
Last Sample (d h m s ms);2h4m39s796ms
Sampling Rate (h m s ms);20ms
Minimum Sampling Time (h m s ms);0ms
Average Sampling Time (h m s ms);31ms
Maximum Sampling Time (h m s ms);63ms
Channel(s);8
Description;TYPE;Color;Width;0-Axis; Lowest Value; Highest Value; Address
h1_line_speed;REAL;0;0;5;0,;286,9656372;DLD0
h1_product_len;REAL;255;0;30;14,8419323;591,5266724;DLD2
h1_tension_1_avg;REAL;65280;0;55;526,6845093;561,9533691;DDT1038
h1_on_baord_ten_raw;REAL;16711680;0;80;0,5568000078;0,6047999859;DDT1104
h1_wrap_ten;REAL;8421504;0;105;-4,879947186;0,4807486832;DDT1130
h1_std_dev;REAL;8750591;0;130;1,606152207e-002;0,3629674613;DDT1132
h1_tape_ten_vdc;REAL;26367;0;155;0,;0,;DDT1080
h1_flyer_rpm;REAL;32768;0;180;0,;459,1450195;DDT1066
Number of Samples;239400

Time;h1_line_speed;h1_product_len;h1_tension_1_avg;h1_on_baord_ten_raw;h1_wrap_ten;h1_std_dev;h1_tape_ten_vdc;h1_flyer_rpm;
0:0:2:656;57,52884674;14,88507557;550,4299316;0,5751999617;-3,04076004;0,2033775449;0,;92,04615784;
0:0:2:686;57,52884674;14,88507557;550,1994629;0,5759999752;-3,036805868;0,2044621408;0,;92,04615784;
0:0:2:718;57,52884674;14,88507557;549,9862061;0,5759999752;-3,032663345;0,2057160139;0,;92,04615784;
0:0:2:750;57,52884674;14,88652039;549,711853;0,5751999617;-3,028709412;0,2057740837;0,;92,04615784;
0:0:2:781;57,52884674;14,88652039;549,376709;0,5751999617;-3,024190426;0,2044124603;0,;92,04615784;
0:0:2:811;57,52884674;14,88652039;549,0117798;0,5751999617;-3,017788172;0,2010654211;0,;92,04615784;
0:0:2:843;57,52884674;14,88819599;548,7901611;0,5744000077;-3,012515545;0,1978896707;0,;92,04615784;
0:0:2:875;57,52884674;14,88819599;548,5681763;0,5744000077;-3,008749485;0,1955026984;0,;92,04615784;
0:0:2:906;57,52884674;14,88819599;548,2560425;0,5735999942;-3,005172014;0,1927724779;0,;92,04615784;
0:0:2:936;57,52884674;14,8898716;547,9904175;0,5727999806;-3,003477573;0,19133991;0,;92,04615784;
0:0:2:968;57,52884674;14,8898716;547,7062988;0,5719999671;-3,002724171;0,1908187717;0,;92,04615784;
0:0:3:0;57,52884674;14,8898716;547,37854;0,5719999671;-3,003665686;0,1914694905;0,;92,04615784;
0:0:3:31;57,52884674;14,89131641;547,0911865;0,5712000132;-3,005925179;0,1927275658;0,;92,04615784;
0:0:3:61;57,52884674;14,89131641;546,7971191;0,5703999996;-3,009502888;0,1944443136;0,;92,04615784;
0:0:3:92;57,52884674;14,89131641;546,4967041;0,5703999996;-3,014021873;0,1962133795;0,;92,04615784;
0:0:3:125;57,52884674;14,89299202;546,0999756;0,5712000132;-3,019670725;0,1982574463;0,;92,04615784;
0:0:3:156;57,52884674;14,89299202;545,8283691;0,5712000132;-3,023436308;0,1986292303;0,;92,04615784;
0:0:3:186;57,52884674;14,89299202;545,5722046;0,5719999671;-3,026825428;0,1985453516;0,;92,04615784;
0:0:3:217;57,52884674;14,89299202;545,2420654;0,5727999806;-3,030214548;0,1976871938;0,;92,04615784;
0:0:3:250;57,52884674;14,89299202;544,9841919;0,5735999942;-3,03209734;0,1967036426;0,;92,04615784;
0:0:3:281;57,52884674;14,89299202;544,7536621;0,5751999617;-3,032850504;0,196195364;0,;92,04615784;
0:0:3:311;57,52884674;14,89466763;544,5463257;0,5759999752;-3,031909227;0,1969649941;0,;92,04615784;
0:0:3:343;57,52884674;14,89466763;544,3527222;0,5759999752;-3,029084444;0,1994966418;0,;92,04615784;
0:0:3:375;57,52884674;14,89466763;544,1984253;0,5759999752;-3,026071787;0,2014156878;0,;92,04615784;
0:0:3:406;57,52884674;14,89611244;544,0339355;0,5759999752;-3,022682667;0,2030634433;0,;92,04615784;
0:0:3:436;57,52884674;14,89611244;543,7786255;0,5759999752;-3,017221928;0,2039757222;0,;92,04615784;
0:0:3:468;57,52884674;14,89611244;543,5136719;0,5751999617;-3,012891054;0,2036826313;0,;92,04615784;
0:0:3:500;57,52884674;14,89778805;543,24823;0,5751999617;-3,00874877;0,2025405318;0,;92,04615784;
0:0:3:531;57,52884674;14,89778805;542,9504395;0,5744000077;-3,00535965;0,2016181201;0,;92,04615784;
0:0:3:561;57,52884674;14,89778805;542,6323853;0,5735999942;-3,002723455;0,2007793635;0,;92,04615784;
0:0:3:593;57,52884674;14,89946365;542,4034424;0,5727999806;-3,00178194;0,2003316432;0,;92,04615784;
0:0:3:625;57,52884674;14,89946365;542,2030029;0,5719999671;-3,001970291;0,2004570216;0,;92,04615784;
0:0:3:656;57,52884674;14,89946365;541,9931641;0,5712000132;-3,003853321;0,20143269;0,;92,04615784;
0:0:3:686;57,52884674;14,90090847;541,8668823;0,5703999996;-3,006865978;0,2030176669;0,;92,04615784;
0:0:3:718;57,52884674;14,90090847;541,762085;0,5703999996;-3,011385202;0,204770878;0,;92,04615784;
0:0:3:750;57,52884674;14,90090847;541,6321411;0,5703999996;-3,016093016;0,2067764103;0,;92,04615784;
0:0:3:781;57,52884674;14,90258408;541,3753662;0,5703999996;-3,022496223;0,2077079713;0,;92,04615784;
0:0:3:811;57,52884674;14,90258408;541,1036987;0,5712000132;-3,027581215;0,2078458667;0,;92,04615784;
0:0:3:843;57,52884674;14,90258408;540,8341064;0,5712000132;-3,032100916;0,207066521;0,;92,04615784;
0:0:3:875;57,52884674;14,90258408;540,5800171;0,5719999671;-3,035867214;0,2059089988;0,;92,04615784;
0:0:3:906;57,52884674;14,90425968;540,2937622;0,5727999806;-3,03888011;0,2050150931;0,;92,04615784;
0:0:3:936;57,52884674;14,90425968;540,0671387;0,5744000077;-3,039633274;0,2047626525;0,;92,04615784;
0:0:3:968;57,52884674;14,90425968;539,8463135;0,5751999617;-3,038880348;0,205188334;0,;92,04615784;
0:0:4:0;57,52884674;14,9057045;539,6375122;0,5751999617;-3,037374496;0,206200406;0,;92,04615784;
0:0:4:30;57,52884674;14,9057045;539,4121094;0,5751999617;-3,034549713;0,2074156851;0,;92,04615784;
0:0:4:62;57,52884674;14,9057045;539,2365112;0,5751999617;-3,031725407;0,2080746293;0,;92,04615784;
0:0:4:92;57,52884674;14,9073801;539,0584717;0,5751999617;-3,028147936;0,2080524117;0,;92,04615784;
0:0:4:125;57,52884674;14,9073801;538,7797241;0,5751999617;-3,022686958;0,2066123188;0,;92,04615784;
0:0:4:155;57,52884674;14,9073801;538,5339966;0,5744000077;-3,018544436;0,2056834698;0,;92,04615784;
0:0:4:187;57,52884674;14,90905571;538,2789917;0,5744000077;-3,015531778;0,20463866;0,;92,04615784;
0:0:4:217;57,52884674;14,90905571;538,0123291;0,5735999942;-3,013460159;0,2037602663;0,;92,04615784;
0:0:4:250;57,52884674;14,90905571;537,765564;0,5727999806;-3,011953592;0,2031140178;0,;92,04615784;
0:0:4:280;57,52884674;14,91050053;537,5758667;0,5727999806;-3,012142181;0,2031407952;0,;92,04615784;
0:0:4:312;57,52884674;14,91050053;537,4365234;0,5719999671;-3,013460636;0,203412354;0,;92,04615784;
0:0:4:343;57,52884674;14,91050053;537,3139038;0,5712000132;-3,015908718;0,2035562694;0,;92,04615784;
0:0:4:375;57,52884674;14,91217613;537,1386719;0,5712000132;-3,020615816;0,2040847689;0,;92,04615784;
0:0:4:405;57,52884674;14,91217613;537,0319824;0,5712000132;-3,024381399;0,204428494;0,;92,04615784;
